id,age,gender,current_country,highest_education_level,current_role,company_size,workplace_uses_machine_learning,yearly_salary,money_spent_on_ml,primary_analyzing_tool,time_coding,time_using_ml_methods
11361,22-24,Male,Taiwan,Masters degree,Student,,,,,,,
11362,35-39,Male,United States of America,Doctoral degree,Research Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"125,000-149,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,
11363,25-29,Male,United States of America,Bachelors degree,Product/Project Manager,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"200,000-249,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,2-3 years
11364,60-69,Male,United States of America,Masters degree,Other,> 10000 employees,,,,,,
11365,22-24,Male,Spain,Bachelors degree,Software Engineer,50-249 employees,No (we do not use ML methods),"20,000-24,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,
11366,40-44,Male,United States of America,Masters degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),,,,,
11367,22-24,Male,France,Masters degree,Data Scientist,50-249 employees,,,,,,
11368,45-49,Male,Sweden,Some college/university study without earning a Bachelors degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
11369,22-24,Male,India,Masters degree,Other,50-249 employees,,,,,,
11370,70+,Male,United States of America,Bachelors degree,DBA/Database Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",0,Other,20+ years,< 1 years
11371,30-34,Male,Italy,Masters degree,Software Engineer,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",0,,,
11372,35-39,Female,Czech Republic,Doctoral degree,Student,,,,,Other,< 1 years,< 1 years
11373,25-29,Female,United States of America,Masters degree,Software Engineer,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"200,000-249,999",,,,
11374,22-24,Male,Spain,Bachelors degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,< 1 years
11375,30-34,Male,India,Bachelors degree,,,,,,,,
11376,30-34,Female,Turkey,Masters degree,Research Scientist,50-249 employees,I do not know,"10,000-14,999",,,,
11377,22-24,Male,Nigeria,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,1-2 years
11378,55-59,Male,France,Masters degree,Data Scientist,250-999 employees,No (we do not use ML methods),"4,000-4,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
11379,25-29,Male,Italy,Masters degree,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
11380,25-29,Male,Italy,Masters degree,Other,50-249 employees,No (we do not use ML methods),"10,000-14,999",ene-99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,2-3 years
11381,40-44,Male,Italy,,,,,,,,,
11382,70+,Prefer not to say,United States of America,Bachelors degree,Software Engineer,1000-9999 employees,I do not know,"60,000-69,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
11383,25-29,Male,Other,Doctoral degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1-2 years,
11384,35-39,Male,Poland,Masters degree,Data Scientist,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"40,000-49,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,3-4 years
11385,35-39,Male,India,Masters degree,Data Analyst,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"2,000-2,999","10,000-99,999","Advanced statistical software (SPSS, SAS, etc.)",5-10 years,4-5 years
11386,22-24,Female,Iran Islamic Republic of...,Masters degree,Data Analyst,0-49 employees,No (we do not use ML methods),0-999,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
11387,30-34,Male,Brazil,Bachelors degree,Software Engineer,0-49 employees,No (we do not use ML methods),"20,000-24,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
11388,22-24,Male,Poland,Masters degree,Student,,,,,,,
11389,45-49,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"150,000-199,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,4-5 years
11390,45-49,Male,United States of America,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),"100,000-124,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
11391,18-21,Male,Peru,Some college/university study without earning a Bachelors degree,Student,,,,,,,
11392,25-29,Male,Ukraine,Masters degree,Data Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"50,000-59,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,4-5 years
11393,45-49,Male,United States of America,Masters degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"100,000-124,999",0,"Local development environments (RStudio, JupyterLab, etc.)",10-20 years,5-10 years
11394,25-29,Male,United States of America,Bachelors degree,Other,1000-9999 employees,I do not know,"50,000-59,999",,,,
11395,40-44,Male,Turkey,Masters degree,Other,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",0,"Advanced statistical software (SPSS, SAS, etc.)",I have never written code,
11396,22-24,Male,Turkey,Masters degree,Data Engineer,50-249 employees,No (we do not use ML methods),0-999,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
11397,60-69,Male,United States of America,Doctoral degree,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),,,,,
11398,45-49,Male,United States of America,Bachelors degree,Other,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"> 500,000",,,,
11399,25-29,Female,United States of America,Some college/university study without earning a Bachelors degree,Data Engineer,50-249 employees,No (we do not use ML methods),"3,000-3,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
11400,22-24,Male,India,Doctoral degree,Software Engineer,50-249 employees,We use ML methods for generating insights (but do not put working models into production),,,,,
11401,22-24,Male,Turkey,I prefer not to answer,Software Engineer,50-249 employees,,,,,,
11402,25-29,Male,Canada,Masters degree,Not employed,,,,,,,
11403,45-49,Male,Netherlands,,,,,,,,,
11404,25-29,Female,Germany,Masters degree,Data Analyst,> 10000 employees,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
11405,25-29,Male,United States of America,Masters degree,Data Analyst,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"90,000-99,999",0,,,
11406,18-21,Female,Turkey,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
11407,25-29,Male,India,Bachelors degree,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),0-999,100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",10-20 years,
11408,40-44,Male,Ireland,Doctoral degree,Other,> 10000 employees,,,,,,
11409,30-34,Female,United States of America,Doctoral degree,Research Scientist,0-49 employees,,,,,,
11410,45-49,Female,Ireland,Masters degree,Other,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",100-999,,,
11411,25-29,Female,United States of America,Masters degree,Data Analyst,0-49 employees,,,,,,
11412,25-29,Male,Colombia,Professional degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
11413,18-21,Female,India,Some college/university study without earning a Bachelors degree,Student,,,,,,,
11414,50-54,Male,United States of America,Bachelors degree,Product/Project Manager,1000-9999 employees,We use ML methods for generating insights (but do not put working models into production),,,,,
11415,40-44,Male,United States of America,Masters degree,Software Engineer,> 10000 employees,,,,,,
11416,25-29,Female,Morocco,Professional degree,Student,,,,,"Advanced statistical software (SPSS, SAS, etc.)",3-5 years,
11417,25-29,Male,India,Bachelors degree,Other,> 10000 employees,,,,,,
11418,30-34,Male,United States of America,Doctoral degree,Data Scientist,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"125,000-149,999",,,,
11419,22-24,Male,Other,No formal education past high school,,,,,,,,
11420,30-34,Female,United States of America,Doctoral degree,Data Scientist,,,,,,,
11421,25-29,Male,India,Masters degree,Software Engineer,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),0-999,ene-99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,
11422,18-21,Male,India,Bachelors degree,Research Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),0-999,0,,,
11423,50-54,Female,United States of America,Masters degree,Other,250-999 employees,No (we do not use ML methods),"60,000-69,999",0,Other,,
11424,25-29,Male,Poland,Bachelors degree,Data Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"10,000-14,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
11425,25-29,Female,Canada,Bachelors degree,Software Engineer,50-249 employees,No (we do not use ML methods),"70,000-79,999",0,,,
11426,40-44,Male,United States of America,Doctoral degree,Research Scientist,250-999 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11427,22-24,Male,India,,,,,,,,,
11428,30-34,Female,United States of America,Masters degree,Product/Project Manager,50-249 employees,No (we do not use ML methods),"90,000-99,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",,
11429,18-21,Female,United States of America,Bachelors degree,Data Scientist,50-249 employees,,,,,,
11430,30-34,Male,France,Masters degree,Data Analyst,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"3,000-3,999","10,000-99,999","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",5-10 years,
11431,18-21,Male,Nigeria,Bachelors degree,Data Scientist,0-49 employees,I do not know,0-999,0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,
11432,25-29,Male,Poland,Masters degree,Business Analyst,> 10000 employees,,,,,,
11433,18-21,Male,India,Masters degree,DBA/Database Engineer,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",0,Other,< 1 years,< 1 years
11434,25-29,Male,India,Bachelors degree,Software Engineer,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11435,30-34,Male,Ukraine,Masters degree,Other,1000-9999 employees,No (we do not use ML methods),"10,000-14,999",0,"Local development environments (RStudio, JupyterLab, etc.)",I have never written code,
11436,18-21,Male,India,I prefer not to answer,Student,,,,,,,
11437,35-39,Male,India,Masters degree,Software Engineer,250-999 employees,I do not know,"10,000-14,999",100-999,,,
11438,25-29,Male,United States of America,Bachelors degree,Product/Project Manager,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"90,000-99,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
11439,30-34,Male,India,Masters degree,Data Scientist,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
11440,18-21,Male,Russia,Some college/university study without earning a Bachelors degree,,,,,,,,
11441,18-21,Male,Switzerland,Masters degree,Research Scientist,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",ene-99,,,
11442,35-39,Male,United States of America,Masters degree,Data Analyst,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
11443,22-24,Male,United States of America,Bachelors degree,Software Engineer,0-49 employees,,,,,,
11444,30-34,Male,Other,Masters degree,Other,0-49 employees,No (we do not use ML methods),0-999,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
11445,18-21,Male,India,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
11446,25-29,Male,Brazil,Masters degree,Software Engineer,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"25,000-29,999",0,,,
11447,30-34,Male,United States of America,Masters degree,Data Scientist,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"150,000-199,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,
11448,45-49,Male,Canada,Doctoral degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),,,,,
11449,30-34,Male,Brazil,Bachelors degree,Research Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",ene-99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,
11450,22-24,Male,India,Bachelors degree,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",0,,,
11451,40-44,Male,Canada,Doctoral degree,Statistician,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"90,000-99,999",0,"Local development environments (RStudio, JupyterLab, etc.)",20+ years,10-15 years
11452,45-49,Male,United States of America,Doctoral degree,Statistician,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"70,000-79,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,< 1 years
11453,25-29,Female,Other,Bachelors degree,Not employed,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
11454,25-29,Male,United States of America,Masters degree,Software Engineer,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11455,22-24,Male,United States of America,Bachelors degree,Data Analyst,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
11456,22-24,Male,Bangladesh,,,,,,,,,
11457,30-34,Male,Kenya,Masters degree,Product/Project Manager,1000-9999 employees,No (we do not use ML methods),"> 500,000",0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,
11458,60-69,Male,United States of America,Bachelors degree,Other,0-49 employees,,,,,,
11459,22-24,Male,Russia,Masters degree,Data Scientist,> 10000 employees,,,,,,
11460,25-29,Female,Other,No formal education past high school,DBA/Database Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",100-999,"Advanced statistical software (SPSS, SAS, etc.)",< 1 years,< 1 years
11461,25-29,Male,Other,Masters degree,Data Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),,,,,
11462,25-29,Male,Brazil,Masters degree,Data Scientist,> 10000 employees,,,,,,
11463,30-34,Female,Colombia,Professional degree,Business Analyst,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"3,000-3,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",< 1 years,
11464,30-34,Female,Austria,Masters degree,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
11465,22-24,Male,India,Bachelors degree,Software Engineer,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11466,45-49,Male,United States of America,Bachelors degree,Software Engineer,0-49 employees,No (we do not use ML methods),"90,000-99,999","10,000-99,999",,,
11467,40-44,Male,Italy,Bachelors degree,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
11468,40-44,Male,Germany,Bachelors degree,Product/Project Manager,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"125,000-149,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
11469,40-44,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11470,22-24,Male,United States of America,Masters degree,Data Analyst,1000-9999 employees,We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,
11471,45-49,Female,Other,Masters degree,Other,0-49 employees,,,,,,
11472,22-24,Female,France,Masters degree,Data Scientist,0-49 employees,,,,,,
11473,25-29,Female,Russia,Masters degree,Data Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"2,000-2,999",ene-99,,,
11474,18-21,Male,India,Some college/university study without earning a Bachelors degree,DBA/Database Engineer,250-999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"4,000-4,999",0,,,
11475,25-29,Female,Germany,Masters degree,Not employed,,,,,,,
11476,50-54,Male,Other,Bachelors degree,Data Scientist,0-49 employees,No (we do not use ML methods),"60,000-69,999",0,Other,20+ years,4-5 years
11477,22-24,Male,United States of America,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,< 1 years
11478,40-44,Male,Spain,Doctoral degree,Research Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),0-999,,,,
11479,35-39,Female,Brazil,Masters degree,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),,,,,
11480,22-24,Male,Spain,Bachelors degree,Research Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),,,,,
11481,50-54,Male,United Kingdom of Great Britain and Northern Ireland,Professional degree,Other,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"150,000-199,999","> 100,000",,,
11482,35-39,Male,United States of America,Bachelors degree,Data Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"150,000-199,999","> 100,000",Other,5-10 years,
11483,40-44,Male,Greece,Masters degree,Statistician,50-249 employees,,,,,,
11484,22-24,Female,Canada,Bachelors degree,Student,,,,,,,
11485,22-24,Male,United States of America,Bachelors degree,,,,,,,,
11486,25-29,Male,France,Masters degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
11487,22-24,Male,India,Bachelors degree,Data Scientist,,,,,,,
11488,22-24,Female,India,Masters degree,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
11489,25-29,Male,Austria,Masters degree,Student,,,,,,,
11490,45-49,Male,Austria,Doctoral degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,100-999,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,1-2 years
11491,25-29,Male,Germany,Bachelors degree,Data Scientist,50-249 employees,,,,,,
11492,35-39,Male,Other,Doctoral degree,Other,0-49 employees,No (we do not use ML methods),0-999,,,,
11493,22-24,Male,Egypt,Masters degree,Software Engineer,250-999 employees,,,,,,
11494,35-39,Male,United States of America,Some college/university study without earning a Bachelors degree,Business Analyst,> 10000 employees,,,,,,
11495,18-21,Male,Ireland,Masters degree,Business Analyst,0-49 employees,I do not know,"40,000-49,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
11496,22-24,Male,United States of America,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,
11497,25-29,Male,India,Bachelors degree,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
11498,35-39,Male,Philippines,Masters degree,Data Scientist,> 10000 employees,,,,,,
11499,22-24,Male,Netherlands,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,4-5 years
11500,35-39,Male,United States of America,Masters degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"100,000-124,999","> 100,000",,,
11501,55-59,Male,United States of America,Bachelors degree,,,,,,,,
11502,25-29,Male,Spain,Masters degree,Other,,,,,,,
11503,30-34,Male,India,Masters degree,Data Scientist,250-999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"20,000-24,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
11504,45-49,Male,Italy,Masters degree,Other,0-49 employees,,,,,,
11505,18-21,Female,United States of America,Bachelors degree,Data Analyst,0-49 employees,,,,,,
11506,35-39,Male,Australia,Masters degree,Other,1000-9999 employees,No (we do not use ML methods),"300,000-500,000",0,Other,1-2 years,1-2 years
11507,30-34,Male,Brazil,Some college/university study without earning a Bachelors degree,Data Scientist,50-249 employees,,,,,,
11508,22-24,Male,India,Bachelors degree,Business Analyst,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"7,500-9,999",100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,1-2 years
11509,25-29,Male,United States of America,,,,,,,,,
11510,25-29,Male,Nigeria,Doctoral degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
11511,25-29,Male,United States of America,Doctoral degree,Software Engineer,50-249 employees,,,,,,
11512,55-59,Female,United States of America,Doctoral degree,Data Scientist,1000-9999 employees,I do not know,"125,000-149,999",0,"Local development environments (RStudio, JupyterLab, etc.)",20+ years,10-15 years
11513,55-59,Male,United States of America,Doctoral degree,Data Scientist,> 10000 employees,I do not know,0-999,0,,,
11514,40-44,Male,Brazil,,,,,,,,,
11515,40-44,Female,Chile,Bachelors degree,Data Analyst,0-49 employees,I do not know,"2,000-2,999","10,000-99,999",,,
11516,30-34,Male,Japan,Masters degree,Software Engineer,250-999 employees,No (we do not use ML methods),"40,000-49,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
11517,30-34,Male,Japan,,,,,,,,,
11518,55-59,Male,France,Doctoral degree,Research Scientist,250-999 employees,I do not know,"80,000-89,999",,,,
11519,22-24,Male,Portugal,Masters degree,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),,,,,
11520,45-49,Male,Czech Republic,Masters degree,Other,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"4,000-4,999","10,000-99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,2-3 years
11521,45-49,Prefer not to say,United Kingdom of Great Britain and Northern Ireland,Professional degree,Other,> 10000 employees,I do not know,,,,,
11522,35-39,Male,Turkey,Masters degree,Research Scientist,250-999 employees,No (we do not use ML methods),"1,000-1,999",ene-99,,,
11523,40-44,Prefer not to say,United States of America,Doctoral degree,,,,,,,,
11524,25-29,Male,Japan,Masters degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11525,55-59,Male,Spain,Doctoral degree,Statistician,1000-9999 employees,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999","1000-9,999","Advanced statistical software (SPSS, SAS, etc.)",20+ years,< 1 years
11526,30-34,Male,Russia,Masters degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"60,000-69,999","10,000-99,999",,,
11527,30-34,Male,Other,Doctoral degree,Other,1000-9999 employees,No (we do not use ML methods),"25,000-29,999",100-999,Other,3-5 years,2-3 years
11528,30-34,Male,India,Masters degree,Software Engineer,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",100-999,,,
11529,50-54,Female,United States of America,Some college/university study without earning a Bachelors degree,Product/Project Manager,0-49 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",ene-99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
11530,30-34,Male,Germany,Masters degree,Software Engineer,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
11531,40-44,Male,Other,Some college/university study without earning a Bachelors degree,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,
11532,18-21,Male,United States of America,Some college/university study without earning a Bachelors degree,Not employed,,,,,,,
11533,40-44,Male,Poland,No formal education past high school,Other,50-249 employees,I do not know,"20,000-24,999",100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,2-3 years
11534,50-54,Male,United States of America,Doctoral degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11535,30-34,Male,Australia,No formal education past high school,Software Engineer,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),,,,,
11536,35-39,Male,Brazil,Bachelors degree,Product/Project Manager,0-49 employees,No (we do not use ML methods),"25,000-29,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
11537,40-44,Male,India,Professional degree,Other,> 10000 employees,No (we do not use ML methods),"10,000-14,999",100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
11538,22-24,Male,Morocco,,,,,,,,,
11539,18-21,Male,Ireland,Bachelors degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),,,,,
11540,25-29,Female,India,Masters degree,Business Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
11541,25-29,Male,Italy,Masters degree,Data Scientist,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"25,000-29,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
11542,25-29,Male,India,Masters degree,Not employed,,,,,,,
11543,25-29,Male,United States of America,Masters degree,Data Analyst,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11544,25-29,Male,Brazil,Bachelors degree,Data Analyst,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
11545,18-21,Male,Mexico,,,,,,,,,
11546,60-69,Male,Germany,Doctoral degree,Research Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11547,25-29,Female,United States of America,Masters degree,Data Analyst,250-999 employees,I do not know,"5,000-7,499",100-999,,,
11548,30-34,Female,Egypt,Doctoral degree,Research Scientist,1000-9999 employees,No (we do not use ML methods),,,,,
11549,18-21,Male,India,Bachelors degree,Student,,,,,,,
11550,60-69,Male,United States of America,Bachelors degree,Software Engineer,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"200,000-249,999","10,000-99,999",,,
11551,50-54,Female,United States of America,Masters degree,Student,,,,,"Advanced statistical software (SPSS, SAS, etc.)",1-2 years,1-2 years
11552,55-59,Male,United States of America,Bachelors degree,Other,250-999 employees,No (we do not use ML methods),"150,000-199,999",0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
11553,30-34,Male,United States of America,Masters degree,Software Engineer,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),,,,,
11554,22-24,Male,Spain,Doctoral degree,Data Scientist,0-49 employees,,,,,,
11555,30-34,Male,United States of America,Masters degree,Other,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),,,,,
11556,30-34,Female,Colombia,Masters degree,Data Scientist,250-999 employees,No (we do not use ML methods),0-999,ene-99,Other,< 1 years,< 1 years
11557,35-39,Male,Turkey,,,,,,,,,
11558,45-49,Male,United States of America,Masters degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),,,,,
11559,25-29,Male,United States of America,Bachelors degree,Software Engineer,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),,,,,
11560,35-39,Male,Turkey,Bachelors degree,Software Engineer,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"15,000-19,999",0,,,
11561,25-29,Male,Greece,Bachelors degree,Statistician,0-49 employees,,,,,,
11562,18-21,Female,United States of America,Bachelors degree,Student,,,,,,,
